"Company Name ","Account Number","Country ","Reporting Year","Ticker Symbol ","ISIN ","Disclosure Score","Performance Band","Parent Account ","Permission","Response Status","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","Country Location"
"Danaher Corporation","4289","USA","2013","DHR US","US2358511028","12",,,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"CBS Corp.","2942","USA","2013","CBS US","US1248572026","24",,,"Public","AQ*",,,"POINT (-95.712891 37.09024)"
"H.J. Heinz Company","8218","USA","2013","HNZ US","US4230741039","27",,,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"MasterCard Incorporated","11421","USA","2013","MA US","US57636Q1040","43",,,"Public","AQ*","3,025.8","37,825","POINT (-95.712891 37.09024)"
"Costco Wholesale Corporation","3944","USA","2013","COST US","US22160K1051","45",,,"Public","AQ*","362,802","1,197,983","POINT (-95.712891 37.09024)"
"Procter & Gamble Company","15132","USA","2013","PG US","US7427181091","47",,,"Public","AQ*","2,799,000","3,028,000","POINT (-95.712891 37.09024)"
"The Chubb Corporation","3293","USA","2013","CB US","US1712321017","52","D",,"Public","AQ*","1,129","10,133","POINT (-95.712891 37.09024)"
"Stryker Corporation","17815","USA","2013","SYK US","US8636671013","53","E",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"Corning Incorporated","23254","USA","2013","GLW US","US2193501051","54","D",,"Public","AQ*","383,729","1,129,330","POINT (-95.712891 37.09024)"
"Charles Schwab Corporation","3133","USA","2013","SCHW US","US8085131055","55","E",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"QUALCOMM Inc.","15419","USA","2013","QCOM US","US7475251036","56","D",,"Public","AQ*","64,782","49,216","POINT (-95.712891 37.09024)"
"WellPoint, Inc.","20595","USA","2013","WLP US","US94973V1070","57","C",,"Public","AQ*","7,460","114,199","POINT (-95.712891 37.09024)"
"PPG Industries, Inc.","14926","USA","2013","PPG US","US6935061076","60","D",,"Public","AQ*","4,053,000","1,810,000","POINT (-95.712891 37.09024)"
"Viacom Inc.","20159","USA","2013","VIAB US","US92553P2011","60","D",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"Visa","22867","USA","2013","V US","US92826C8394","61","D",,"Public","AQ*","8,151","68,313","POINT (-95.712891 37.09024)"
"Occidental Petroleum Corporation","13649","USA","2013","OXY US","US6745991058","61","E",,"Public","AQ*","14,270,000","5,600,000","POINT (-95.712891 37.09024)"
"Medtronic, Inc.","11651","USA","2013","MDT US","US5850551061","61","D",,"Public","AQ*","31,460","170,685","POINT (-95.712891 37.09024)"
"American International Group, Inc.","699","USA","2013","AIG US","US0268747849","62","D",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"The Travelers Companies, Inc.","19377","USA","2013","TRV US","US89417E1091","63","C",,"Public","AQ*","35,633","48,175","POINT (-95.712891 37.09024)"
"Prudential Financial, Inc.","15306","USA","2013","PRU US","US7443201022","63","C",,"Public","AQ*","5,090","70,613","POINT (-95.712891 37.09024)"
"Texas Instruments Incorporated","18640","USA","2013","TXN US","US8825081040","64","D",,"Public","AQ*","827,274.44","1,588,465.81","POINT (-95.712891 37.09024)"
"Cognizant Technology Solutions Corp.","3588","USA","2013","CTSH US","US1924461023","64","C",,"Public","AQ*","46,934","137,460","POINT (-95.712891 37.09024)"
"Halliburton Company","8027","USA","2013","HAL US","US4062161017","65","D",,"Public","AQ*","4,211,808","839,363","POINT (-95.712891 37.09024)"
"Sysco Corporation","18155","USA","2013","SYY US","US8718291078","66","C",,"Public","AQ*","788,200","336,857","POINT (-95.712891 37.09024)"
"CenturyLink","31497","USA","2013","CTL US","US1567001060","66","D",,"Public","AQ*","279,522.5","2,079,911.5","POINT (-95.712891 37.09024)"
"Duke Energy Corporation","5052","USA","2013","DUK US","US26441C2044","67","C",,"Public","AQ*","123,430,000",,"POINT (-95.712891 37.09024)"
"American Electric Power Company, Inc.","689","USA","2013","AEP US","US0255371017","68","D",,"Public","AQ*","121,927,400",,"POINT (-95.712891 37.09024)"
"3M Company","285","USA","2013","MMM US","US88579Y1010","70","D",,"Public","AQ*","4,540,000","2,230,000","POINT (-95.712891 37.09024)"
"Apache Corporation","804","USA","2013","APA US","US0374111054","70","C",,"Public","AQ*","10,766,000","1,314,000","POINT (-95.712891 37.09024)"
